Feature,Mutual Information Score
Total Charges,0.2743762238265377
Total Revenue,0.2703286911053142
Total Long Distance Charges,0.2540115854427645
Avg Monthly Long Distance Charges,0.1906792177663088
Zip Code,0.18302119707401387
Latitude,0.17544639037142318
Longitude,0.1700584898982933
Contract,0.16249615517891258
Monthly Charge,0.16198909785331095
City,0.12377203327618758
Number of Referrals,0.10331744155206524
Tenure in Months,0.09745727823720896
Premium Tech Support,0.08753566087149256
Online Security,0.08361508607352075
Online Backup,0.0647580245067565
Internet Type,0.05744499800765612
Number of Dependents,0.052825758844949444
Device Protection Plan,0.051513980609474874
Streaming Music,0.047911201040388374
Avg Monthly GB Download,0.047557467581825996
Unlimited Data,0.040946876640965524
Offer,0.04062005113964262
Streaming Movies,0.040027403991636845
Internet Service,0.03327480598905508
Streaming TV,0.03146159445888763
Payment Method,0.031458008465911735
Age,0.0268464308478793
Total Refunds,0.025895332046778297
Paperless Billing,0.023293167630177303
Married,0.020031870142566577
Total Extra Data Charges,0.008432450287479965
Phone Service,0.0037440184640966656
Gender,0.0
Multiple Lines,0.0
