Total Charges,Total Revenue,Total Long Distance Charges,Avg Monthly Long Distance Charges,Zip Code,Latitude,Longitude,Contract,Monthly Charge,City,Number of Referrals,Tenure in Months,Premium Tech Support,Online Security,Online Backup,Internet Type,Number of Dependents,Device Protection Plan,Streaming Music,Avg Monthly GB Download,Churn Target
353.65,428.11,74.46,4.38,95815,38.608405,-121.449942,1.0,20.15,838.0,0,17,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
20.6,67.86,47.26,47.26,93603,36.64545,-118.924982,0.0,20.6,54.0,0,1,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,1
3808.0,6208.16,2400.16,42.86,92662,33.606336,-117.893042,1.0,68.75,662.0,2,56,0.0,2.0,0.0,1.0,0,2.0,2.0,8.0,0
1888.45,1967.65,79.2,2.64,95404,38.526941,-122.709096,0.0,64.5,891.0,0,30,0.0,2.0,0.0,1.0,0,0.0,2.0,15.0,0
6010.05,9019.18,3009.13,49.33,95369,37.521708,-120.426843,0.0,99.15,925.0,1,61,0.0,0.0,2.0,2.0,0,0.0,2.0,7.0,1
2919.85,2919.85,0.0,0.0,95388,37.421299,-120.599587,1.0,50.0,1083.0,9,58,0.0,2.0,2.0,0.0,3,2.0,0.0,52.0,0
1775.8,2535.23,759.43,39.97,95935,39.381174,-121.21191,0.0,88.2,261.0,0,19,0.0,0.0,2.0,2.0,0,0.0,0.0,9.0,1
396.1,522.54,126.44,31.61,92122,32.85723,-117.209774,0.0,95.45,852.0,0,4,0.0,0.0,0.0,2.0,0,0.0,0.0,2.0,1
360.1,386.82,26.72,6.68,94304,37.386978,-122.177746,0.0,84.6,723.0,0,4,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,1
3092.65,3454.45,361.8,6.7,92582,33.806708,-117.02007,0.0,55.0,859.0,0,54,0.0,0.0,2.0,0.0,2,0.0,0.0,16.0,1
910.45,1210.38,179.93,9.47,90012,34.065875,-118.238728,0.0,50.1,552.0,10,19,0.0,0.0,0.0,1.0,2,0.0,0.0,13.0,0
6448.05,7787.94,1339.89,22.71,95445,38.848082,-123.50608,1.0,110.15,393.0,1,59,0.0,2.0,2.0,2.0,0,2.0,2.0,26.0,1
8424.9,11529.54,3104.64,43.12,95420,39.361283,-123.784599,2.0,115.8,166.0,0,72,2.0,2.0,2.0,2.0,0,2.0,2.0,6.0,0
4916.95,7527.25,2610.3,47.46,95125,37.294926,-121.894763,1.0,90.15,861.0,8,55,2.0,2.0,2.0,1.0,0,2.0,2.0,53.0,0
1808.7,2695.32,886.62,42.22,95032,37.233034,-121.947427,0.0,86.5,554.0,3,21,0.0,0.0,0.0,2.0,0,0.0,2.0,29.0,1
542.4,610.28,96.21,10.69,91206,34.162515,-118.203869,0.0,70.5,366.0,0,9,0.0,0.0,0.0,0.0,0,0.0,2.0,10.0,0
2171.15,3122.87,951.72,28.84,96112,41.932207,-120.135941,0.0,68.25,338.0,0,33,0.0,0.0,0.0,2.0,0,0.0,0.0,23.0,1
2917.5,4603.51,1579.9,45.14,94579,37.687264,-122.15728,0.0,85.3,864.0,0,35,2.0,0.0,2.0,2.0,0,0.0,2.0,41.0,1
61.35,168.3,106.95,35.65,90744,33.782068,-118.262263,1.0,19.6,1075.0,0,3,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
483.15,1123.71,657.12,27.38,95988,39.493991,-122.286363,2.0,19.75,1074.0,4,24,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
4113.1,5015.5,902.4,22.56,93637,36.902954,-120.194274,0.0,101.3,570.0,1,40,0.0,0.0,2.0,0.0,0,0.0,2.0,4.0,1
5294.6,6785.4,1480.8,24.68,95018,37.089111,-122.062213,2.0,89.45,320.0,6,60,0.0,0.0,2.0,2.0,0,0.0,0.0,19.0,0
4972.1,5911.42,939.32,20.42,95046,37.084697,-121.606417,2.0,110.2,870.0,7,46,2.0,2.0,2.0,2.0,1,0.0,0.0,16.0,0
1730.35,2152.53,422.18,19.19,92220,33.936298,-116.849577,0.0,79.35,60.0,0,22,0.0,0.0,2.0,2.0,0,0.0,0.0,17.0,1
19.75,57.37,37.62,37.62,91201,34.17051,-118.289463,0.0,19.75,366.0,0,1,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
903.6,903.6,0.0,0.0,92506,33.930931,-117.361788,1.0,43.75,827.0,0,22,0.0,0.0,2.0,1.0,0,2.0,2.0,16.0,1
1400.3,1945.19,593.55,39.57,91011,34.234912,-118.153729,2.0,91.5,482.0,0,15,0.0,0.0,0.0,2.0,0,0.0,0.0,16.0,0
45.95,51.07,5.12,5.12,91351,34.422519,-118.420717,0.0,45.95,149.0,0,1,0.0,0.0,0.0,1.0,0,0.0,2.0,30.0,1
158.95,194.02,35.07,5.01,95974,39.495768,-121.747472,0.0,20.65,817.0,7,7,1.0,1.0,1.0,3.0,1,1.0,1.0,0.0,0
108.15,129.09,20.94,10.47,90003,33.964131,-118.272783,0.0,53.85,552.0,0,2,0.0,2.0,2.0,1.0,0,0.0,0.0,21.0,1
2820.65,3036.35,215.7,7.19,95372,37.990574,-120.261821,1.0,90.4,936.0,0,30,0.0,2.0,2.0,2.0,0,2.0,0.0,18.0,0
4014.6,5743.32,1728.72,41.16,95663,38.859093,-121.182872,0.0,94.4,742.0,9,42,0.0,2.0,0.0,2.0,0,2.0,2.0,11.0,0
6215.35,6781.09,565.74,8.98,94040,37.380662,-122.086022,0.0,100.55,646.0,3,63,0.0,2.0,2.0,2.0,0,2.0,0.0,16.0,1
363.15,363.15,0.0,0.0,93544,34.500091,-117.765862,0.0,35.8,536.0,0,11,0.0,0.0,0.0,1.0,0,0.0,0.0,52.0,0
106.55,156.21,49.66,24.83,92028,33.362575,-117.299644,0.0,49.4,315.0,0,2,0.0,0.0,0.0,0.0,0,0.0,2.0,52.0,1
1120.3,1367.79,127.49,11.59,91605,34.207295,-118.400022,0.0,95.0,674.0,0,11,0.0,0.0,2.0,2.0,1,0.0,0.0,29.0,1
4941.8,6233.93,1292.13,26.37,92117,32.825086,-117.199424,1.0,100.45,852.0,1,49,0.0,0.0,2.0,2.0,0,0.0,2.0,19.0,1
5453.4,7448.4,1995.0,33.25,93665,36.959731,-120.653519,1.0,90.95,937.0,1,60,0.0,0.0,2.0,2.0,0,2.0,2.0,52.0,1
220.4,249.62,29.22,9.74,94118,37.781304,-122.461522,0.0,70.3,855.0,0,3,0.0,0.0,0.0,2.0,0,0.0,0.0,27.0,0
1215.45,1965.57,750.12,35.72,94508,38.542448,-122.419923,1.0,58.85,27.0,1,21,0.0,0.0,2.0,0.0,3,0.0,0.0,30.0,0
3478.15,5354.15,1876.0,37.52,91436,34.152875,-118.486056,1.0,70.8,303.0,0,50,2.0,2.0,0.0,1.0,2,2.0,0.0,71.0,0
2995.45,4194.22,1198.77,38.67,96017,41.121108,-122.336613,0.0,91.15,169.0,1,31,0.0,0.0,2.0,0.0,0,0.0,2.0,13.0,1
1483.25,1950.29,327.04,20.44,94804,37.921034,-122.341798,0.0,94.25,816.0,0,16,0.0,2.0,0.0,2.0,0,0.0,2.0,59.0,1
5017.7,5969.38,951.68,14.87,95960,39.423046,-120.984472,1.0,80.3,676.0,5,64,0.0,2.0,0.0,2.0,0,2.0,0.0,16.0,0
7804.15,9322.37,1518.22,22.66,91042,34.296574,-118.244839,1.0,118.35,1007.0,0,67,2.0,2.0,2.0,2.0,0,2.0,2.0,27.0,1
6858.9,10025.7,3166.8,45.24,92268,34.201108,-116.593456,2.0,98.7,759.0,5,70,2.0,0.0,2.0,2.0,0,2.0,2.0,42.0,0
137.85,137.85,0.0,0.0,92309,35.28952,-116.092214,0.0,33.65,55.0,0,4,0.0,2.0,2.0,1.0,0,0.0,0.0,4.0,1
4323.45,5004.69,681.24,16.22,96063,40.408796,-121.579609,0.0,104.75,614.0,0,42,0.0,0.0,2.0,2.0,0,2.0,0.0,12.0,1
309.4,551.35,241.95,16.13,92082,33.25283,-116.986079,0.0,19.8,1026.0,0,15,1.0,1.0,1.0,3.0,0,1.0,1.0,0.0,0
