Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Target
0.0,35,0.0,0,838.0,95815,38.608405,-121.449942,0,17,0.0,1.0,4.38,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,20.15,353.65,0.0,0,74.46,428.11,0
1.0,56,0.0,0,54.0,93603,36.64545,-118.924982,0,1,5.0,1.0,47.26,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,20.6,20.6,0.0,0,47.26,67.86,1
0.0,58,1.0,0,662.0,92662,33.606336,-117.893042,2,56,0.0,1.0,42.86,2.0,1.0,1.0,8.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,68.75,3808.0,0.0,0,2400.16,6208.16,0
1.0,58,0.0,0,891.0,95404,38.526941,-122.709096,0,30,0.0,1.0,2.64,2.0,1.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,64.5,1888.45,0.0,0,79.2,1967.65,0
0.0,63,1.0,0,925.0,95369,37.521708,-120.426843,1,61,0.0,1.0,49.33,2.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,99.15,6010.05,0.0,0,3009.13,9019.18,1
1.0,21,1.0,3,1083.0,95388,37.421299,-120.599587,9,58,0.0,0.0,0.0,1.0,1.0,0.0,52.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,50.0,2919.85,0.0,0,0.0,2919.85,0
1.0,74,0.0,0,261.0,95935,39.381174,-121.21191,0,19,4.0,1.0,39.97,2.0,1.0,2.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,88.2,1775.8,0.0,0,759.43,2535.23,1
0.0,74,0.0,0,852.0,92122,32.85723,-117.209774,0,4,5.0,1.0,31.61,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,95.45,396.1,0.0,0,126.44,522.54,1
0.0,68,0.0,0,723.0,94304,37.386978,-122.177746,0,4,0.0,1.0,6.68,2.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,84.6,360.1,0.0,0,26.72,386.82,1
1.0,43,0.0,2,859.0,92582,33.806708,-117.02007,0,54,0.0,1.0,6.7,2.0,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,55.0,3092.65,0.0,0,361.8,3454.45,1
1.0,51,1.0,2,552.0,90012,34.065875,-118.238728,10,19,4.0,1.0,9.47,2.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.1,910.45,0.0,120,179.93,1210.38,0
